PRID,PRTITLE,PRREASON,PRTYPE,CONFIDENCE
3145298724,[alpha_factory] update notebooks with wheelhouse instructions,"The changes described are focused on updating documentation within notebooks to include instructions for offline wheelhouse installation, which is a documentation update rather than code or feature changes.",docs,9
3145279218,[alpha_factory] add curl dependency check,"The PR adds a new feature by introducing a curl dependency check and skipping tests if curl is missing, which enhances functionality.",feat,9
3095752412,Add ZodPipeline support,"The PR introduces support for a new feature, specifically adding ZodPipeline support and related enhancements.",feat,9
3095678149,Remove unused firecrawl service,"The changes involve removing unused code and dependencies without adding features or fixing bugs, which is typical of a chore to clean up the codebase.",chore,9
3095654449,Improve node type guards with provider filtering and GitHub badge conditions,"The PR introduces enhanced type guards with provider filtering, which is a new capability improving the node type system. Although it also refactors existing code for better readability and type safety, the primary change is the addition of new features for provider filtering in node type guards.",feat,9
3095780485,Add ZodPipeline support,"The PR introduces support for a new feature, specifically adding ZodPipeline support and related functionality, which is a new capability rather than a bug fix or other change type.",feat,9
3222027357,Add Mochi solution for associative-array iteration,"The PR introduces a new implementation (feature) for associative-array iteration and adds corresponding golden output, which aligns with adding a new feature rather than fixing a bug or other types of changes.",feat,9
3095884880,[alpha_factory] replace global orchestrator,"The changes involve replacing the global orchestrator with a new approach to store and access it via app state, and cleaning up tasks on shutdown, which is a functional change adding or improving features related to orchestration management.",feat,8
3222027648,Add Rosetta task 72 in Mochi,"The PR introduces a new feature by implementing Rosetta task 72 (Associative-array-Merging) and adding expected output for it, which aligns with adding new functionality.",feat,9
3222027840,Add Mochi implementation for Rosetta Atomic updates task,"The PR introduces a new implementation for a Rosetta Atomic updates task, which is a new feature addition to the codebase.",feat,9
3095847023,[alpha_factory] refine retry wrappers,"The changes improve typing and remove a global mypy ignore, which are code quality improvements without adding features or fixing bugs. This fits best under 'refactor' as it neither adds new features nor fixes bugs but improves the code structure and quality.",refactor,9
3222027866,Add Mochi implementation for Attractive-numbers,"The PR introduces a new implementation for attractive numbers and adds matching expected output, which constitutes adding a new feature.",feat,9
3222028971,Add Mochi solutions for Rosetta Averages-Median,"The PR introduces new functionality by implementing three Mochi versions for a specific task and adding corresponding golden outputs, which clearly indicates a new feature addition.",feat,9
3222124620,Add Rosetta Pythagorean means task,"The PR introduces a new Rosetta task feature called 'averages-pythagorean-means' and includes expected output, which indicates the addition of a new feature rather than a fix or other change.",feat,9
3222124890,Add Mochi solution for Bézier curves intersections,"The PR introduces a new implementation (feature) for Bézier curves intersections and includes expected output, indicating addition of new functionality.",feat,9
3222029529,Add Mochi solution for Averages Mode rosetta task,"The PR introduces a new solution implementation for a specific task and adds corresponding test outputs, which constitutes adding a new feature.",feat,9
3222027938,Add Average Loop Length Rosetta sample,"The PR introduces a new feature by adding a new Rosetta sample for Average Loop Length, including implementation and output, which aligns with the 'feat' type.",feat,9
3222124792,Add Mochi simple moving average example,"The PR introduces a new example implementation for a specific task, which adds new functionality to the codebase, fitting the definition of a feature addition.",feat,9
3222124726,Add Mochi solution for RMS task,"The PR introduces a new feature by implementing the Mochi translation for the RMS task and adding an expected output file, which indicates new functionality rather than a fix or other change type.",feat,9
3222125055,Add Balanced brackets Mochi sample,"The PR adds a new sample implementation for the Balanced brackets Rosetta task, which is a new feature addition.",feat,9
3222124924,Add Mochi implementation for Babbage problem,"The PR introduces a new implementation of a task and includes new output data, which constitutes adding a new feature or functionality.",feat,9
3222125135,Add Balanced-ternary rosetta task,"The PR introduces a new feature by adding a new Balanced-ternary Rosetta Code task and its expected output, which is a new functionality.",feat,9
3222139975,Add Rosetta task 95 Bifid cipher,"The PR introduces a new task implementation for the Rosetta Bifid cipher, which is a new feature addition.",feat,9
3222138576,Add Best Shuffle rosetta task,"The PR introduces a new Rosetta Code task implementation, which is a new feature addition to the codebase.",feat,9
3222136952,Add Benfords law Rosetta task,"The PR introduces a new feature by adding a Rosetta task implementing Benford's law along with a golden test output, which is a new functionality.",feat,9
3222140120,Add bin given limits Mochi task,"The PR introduces a new feature by adding a new Mochi task that implements binning with given limits, which is a new functionality.",feat,9
3222140343,Add binary search rosetta example,"The PR introduces a new feature by adding a new implementation example for the binary search task in the Rosetta Code project, which is a new functionality.",feat,9
3222125194,Add Mochi Barnsley fern example,"The PR introduces a new example implementation for the Barnsley fern task, which is a new feature addition to the codebase.",feat,9
3222140204,Add Mochi solution for Binary-digits Rosetta task,"The PR introduces a new feature by adding a Mochi implementation for the 'Binary digits' Rosetta task along with expected outputs for tests, which constitutes a new feature addition.",feat,9
3222140397,Add Mochi implementation for Rosetta task 99,"The PR introduces a new feature by adding a Mochi implementation for a specific Rosetta task and includes a golden output for testing, which aligns with adding new functionality.",feat,9
3222140465,Add Bioinformatics Global alignment task,"The PR introduces a new feature by adding a new Bioinformatics Global alignment task implementation and its expected output, which is a new capability to the project.",feat,9
3222183724,Add simple arithmetic mean example,"The PR introduces a new example task for arithmetic mean, which is a new feature addition to the examples set.",feat,9
3222190872,Add align-columns task,"The PR introduces a new task implementation and associated tests, which constitutes adding a new feature to the codebase.",feat,9
3222175930,Add Rosetta Anti-primes in Mochi,"The PR introduces a new feature by adding the Mochi implementation of the Rosetta 'Anti-primes' task along with its golden output and tests, which is a clear addition of functionality.",feat,9
3222196149,Add Mochi solution for Rosetta task 37,"The PR introduces a new feature by adding a new Mochi implementation for a specific task and includes expected output, which aligns with adding new functionality.",feat,9
3222204374,Add Array-concatenation task in Mochi,"The PR introduces a new task implementation and expected output, which adds new functionality to the project.",feat,9
3222183230,Add initial Rosetta mean-time-of-day implementation,"The PR introduces a new feature by adding an initial implementation of the Rosetta mean-time-of-day functionality, including source code and translation efforts, which aligns with adding new capabilities.",feat,9
3222288943,Improve Java map literal handling,"The changes improve the handling of Java map literals and optimize imports, which enhances the compiler's functionality but does not introduce a new feature or fix a bug explicitly. It is a code improvement related to refactoring the compiler's internal logic.",refactor,8
3222271158,Improve Scala compiler helpers,"The changes introduce new helper functions and improvements, which add new capabilities without fixing bugs or just refactoring existing code. This aligns with the 'feat' type for new features.",feat,9
3222299513,Add Mochi implementation for Rosetta arithmetic mean task,"The PR introduces a new feature by adding a Mochi implementation for a specific task and includes tests for it, which aligns with adding new functionality.",feat,9
3222279403,Add Mochi solution for Rosetta Base64 decode,"The PR introduces a new solution for a Rosetta code task, which is a new feature addition to the Mochi tool.",feat,9
3222342467,Add F# import support,"The PR introduces a new feature by adding basic import handling for the F# backend, which is a new capability.",feat,9
3222280927,Add local constants for Rosetta mean time task,"The changes introduce local constants and embed PI inside functions, which is an improvement or addition to the code but does not fix a bug or add a new feature. It is more about improving code structure and correctness, which aligns with a refactor.",refactor,8
3222362622,Update Clojure compiler runtime helpers,"The changes include fixing missing parentheses in generated files and adjusting dependency order, which are bug fixes. Other changes like updating README and removing obsolete files are ancillary but the main code changes fix issues.",fix,9
3222369985,Improve Java compiler with data class inference,"The PR introduces a new feature to the Java compiler by enabling it to infer map literals as data classes and adjusts boolean checks accordingly, which enhances the compiler's capabilities rather than fixing a bug or making other types of changes.",feat,9
3222406455,Add bigrat type and Bernoulli numbers example,"The PR introduces a new feature by adding a new 'bigrat' type with rational arithmetic, new builtins, and support in the type checker, as well as an example using Bernoulli numbers, which clearly indicates a feature addition.",feat,9
3120368363,Implement ifelse in DSL for for loops,"The PR introduces a new feature by implementing 'ifelse' and 'if' constructs in the DSL for for loops, which adds new functionality rather than fixing a bug or making other types of changes.",feat,9
3151032257,Remove lodash.get() calls,"The changes replace lodash.get calls with optional chaining and nullish coalescing, which is a code improvement but does not add new features or fix bugs. It is a refactor to modernize and simplify the codebase.",refactor,9
3071389487,capitalize poe in readme and fix typos,"The changes involve correcting typos and capitalization in the README file, which are documentation improvements without code changes.",docs,9
3159907246,NAS-00000: close slide-in on logout,"The change involves closing a slide-in UI element on logout, which is a fix to the user interface behavior rather than a new feature or other type of change.",fix,8
3223701784,Use toolkit switch,"The change introduces a new UI component 'CustomSwitch' from a library, which adds a new feature to the WhatsApp sort dialog functionality.",feat,8
3270714989,Add CI workflow for PoCL,"The PR adds a new GitHub Actions workflow for continuous integration testing, which is a change to the CI configuration files and scripts.",ci,9
3137090454,[alpha_factory] add Dockerfile for business 3 demo,"The PR adds a new Dockerfile and documents the local Docker build process, which introduces new functionality related to containerization for the business 3 demo. This aligns with adding a new feature rather than fixing a bug or making other types of changes.",feat,8
3181775739,Add v0.10.4 release notes,"The changes are focused on adding documentation for the new release version and release notes, which is purely documentation work without code changes or fixes.",docs,9
3223794248,Rename Dock.Serializer project,"The changes involve renaming a project and updating references and documentation, which are auxiliary tasks related to the build and project structure rather than code features or fixes.",chore,9
3182910400,Add release notes for v0.10.5,"The changes are focused on updating documentation with release notes and changelog entries, without modifying code functionality.",docs,9
3079753271,Add CI workflow for multiplatform builds,"The PR adds a new GitHub Actions workflow for multiplatform builds and updates documentation accordingly, which is a change to the CI configuration files and scripts.",ci,9
3127630140,Compute point index map lazily,"The change modifies the internal implementation to compute a data structure lazily rather than storing it, improving efficiency without changing behavior. This is a refactor since it neither fixes a bug nor adds a feature but improves code structure and possibly performance.",refactor,8
3080161730,Add empty option label example,"The PR adds a new example page demonstrating a feature and includes tests for it, which aligns with adding missing tests or correcting existing tests.",test,8
3138629997,Add wallet transaction history,"The PR introduces a new feature by adding wallet transaction history functionality, including a new command, a React component, and UI updates to show recent transactions.",feat,9
3079900258,Handle offset overflow message,"The PR introduces a new feature that enhances the readFileFromDisk function to handle offset overflow by showing an additional message and adds a regression test for this behavior. This is a clear addition of functionality, not just a fix or refactor.",feat,9
3130674794,[alpha_factory] honor seed config,"The PR introduces a new feature to read a seed configuration from a config file, documents this new option, and adds tests for deterministic seeding, which aligns with adding a new feature.",feat,9
3128494218,[alpha_factory] add governance ADK runtime test,"The PR introduces a new runtime test for governance ADK, which is a new feature addition to the testing suite.",test,9
3141058185,[alpha_factory] fix: add license header to business v3 tests,"The commit adds a license header to a test file, which is a documentation-related change rather than a code feature or bug fix.",docs,9
3138394872,Add SDK docs,"The changes described involve restructuring and adding documentation for the SDK, linking docs from guides and README, which are all documentation-related changes without code or feature modifications.",docs,10
3128521862,Add migration guide and changelog,"The changes are focused on adding documentation such as a migration guide and changelog, and updating references in the README. There is no code or feature change, only documentation updates.",docs,10
3263427077,Process first batch of C++ Rosetta programs,"The PR introduces new transpiled C++ output for Rosetta programs, which is a new feature addition. The updates to the benchmark table and tasks checklist support this new feature.",feat,9
3263517716,Process more Rosetta programs for CS transpiler,"The changes introduce new features to the C# transpiler, such as honoring final variable types, supporting typed list literals, implementing dictionary access with default values, and handling the keys() function, which are all new capabilities rather than fixes or refactors.",feat,9
3189896520,Add TPU-compatible logits inference,"The PR introduces a new feature enabling TPU-compatible logits inference, including multiprocessing and tutorial updates, which clearly adds new functionality.",feat,9
3131854273,Add scheduled process config management,"The PR introduces new features including a facade, controller, JSF page, and UI navigation elements for managing scheduled process configurations, which aligns with adding a new feature.",feat,9
3263542917,Transpile Lua Rosetta examples 226-275,"The PR introduces transpiled Lua code examples and updates related documentation and metadata, which constitutes adding new features or content rather than fixing bugs or refactoring existing code.",feat,8
3128517351,Codex/criar estrutura de pastas para docs/pt br e docs,"The PR primarily adds extensive documentation in both English and Brazilian Portuguese, including guides, examples, and translations. It also includes a minor test refactor to improve import handling with pytest. The main focus is on documentation enhancement with a small test improvement, so the 'docs' label is most appropriate.",docs,9
3105328504,Change SubNodeList Expr fields to Sequence,"The changes involve replacing data types and adapting various parts of the codebase to accommodate this new type, which is a refactor since it neither adds new features nor fixes bugs but improves the internal structure.",refactor,9
3276979643,Use official tree-sitter python grammar,"The change involves switching the dependency to an official grammar and removing an old dependency, which is a modification to the build dependencies rather than a feature or bug fix.",build,9
3105365084,Update ModulePath.path to Sequence,"The changes involve restructuring the data type of ModulePath.path and adjusting related components without adding new features or fixing bugs, which is a typical refactor activity.",refactor,9
3129032116,Use persistent lock for Config.update_settings,"The PR fixes a bug related to thread safety in updating configuration settings, ensuring consistent behavior during concurrent updates, which is a bug fix.",fix,9
3130082117,Add display interpolation duration data,"The PR introduces a new feature by adding InterpolationDurationData to control interpolation duration on display entities, which is a new capability.",feat,9
3126118488,Add Network tag in tool listing,"The change introduces a new feature by adding a 'Network' badge to the tool listing, which is an enhancement to the existing functionality.",feat,9
3126019191,Add style guide tool call,"The PR introduces a new tool 'read_style_guide' and updates the chat hook to support this new feature, which clearly indicates the addition of new functionality.",feat,9
3126001479,Add next-intl TypeScript config,"The PR introduces a new feature by adding TypeScript configuration for locale files, updating i18n utilities to use typed translation keys, and providing example usage of typed keys, which enhances the functionality of the project.",feat,9
3105367498,Use sequence for Archetype.body,"The changes introduce a new data structure (sequence) for the Archetype.body and update related parsing and processing logic, which adds new functionality rather than fixing a bug or just refactoring.",feat,8
3215854734,[alpha_factory] Update docs build script to refresh browserslist DB,"The changes involve updating the documentation build script and refreshing the browserslist database, which affects the build process and dependencies rather than adding features or fixing bugs.",build,8
3158413019,Clamp color scale input,"The change prevents an error by clamping input values, which fixes a bug related to invalid input ranges.",fix,9
3153529915,Rewrite Erlang compiler,"The PR introduces a new Erlang compiler that emits native code, which is a new feature addition rather than a bug fix or other change type.",feat,9
3242412660,Add v0.10.29 release notes,"The changes involve adding documentation for the release notes and changelog, which are documentation-only changes without affecting code functionality.",docs,9
3153190958,Update translations for 2.1 keys,"The PR adds new translation keys and extends existing translations, which constitutes adding new features in terms of internationalization support.",feat,9
3244069332,[alpha_factory] docs: emphasize full pre-commit,"The changes are focused on documentation updates to emphasize the use of full pre-commit and note this in the PR template, without altering code functionality.",docs,9
3088222481,Add videos to iPod dataset,"The PR adds new video data to the iPod dataset, which is a new feature addition rather than a fix or other change type.",feat,8
3153584360,[alpha_factory] refactor run_cycle,"The commit message explicitly states that the change is a simplification of the 'run_cycle' function and exercises new behavior in tests, indicating a code change that neither fixes a bug nor adds a feature, which fits the 'refactor' category.",refactor,9
3153635752,Restore Inspector panel,"The PR introduces a new feature by restoring the Inspector panel, implementing new components and handlers, and updating tests accordingly.",feat,9
3242981840,Add v0.10.30 release notes,"The commit adds documentation for the new release notes and updates the changelog, which are documentation changes without code modifications or feature additions.",docs,9
3241654993,Add v0.10.28 release notes,"The PR adds documentation for the release notes and updates the changelog, which are documentation changes without code modifications.",docs,9
3088263277,Add recommended models view,"The PR introduces a new feature by adding a recommended models view in the ModelsManager dialog, which is a new functionality.",feat,9
3088276025,Document ChronicleHandler configuration,The changes are focused on adding documentation and Javadoc comments without modifying code functionality.,docs,9
3088275897,Add Javadoc for ChronicleHelper,"The PR adds Javadoc documentation to the ChronicleHelper class and describes behavior, which is purely documentation without code changes or fixes.",docs,9
3088279630,Add Javadoc for Logback base appender,"The changes are focused on adding Javadoc comments to document the code, which is a documentation-only change without affecting functionality.",docs,9
3088276423,Improve Log4j1 base appender docs,"The changes are focused on improving documentation by describing components and methods, without altering code functionality.",docs,9
3088275499,Add usage docs for ChroniCat,"The PR adds documentation for the ChroniCat command line tool, explaining usage and arguments, which is purely documentation work without code changes.",docs,9
3088276395,Improve ChronicleAppender docs,"The changes are focused on improving documentation by explaining configuration details and documenting setters, without modifying code functionality.",docs,9
3088275734,Add ChronicleLogger documentation,"The PR adds documentation for the ChronicleLogger integration and its methods without changing code functionality, which fits the 'docs' category.",docs,9
3088279741,Document log levels and helper methods,The changes are focused on adding documentation for log levels and helper methods without modifying code functionality.,docs,9
3088276218,Add JCL logger documentation,"The PR adds documentation explaining the usage and behavior of the JCL logger, without changing code functionality or fixing bugs.",docs,9
3088279792,Document queue configuration options,The PR adds documentation about queue configuration options without changing code functionality.,docs,9
3088287348,Improve ChronicleLogConfig documentation,"The changes described are focused on improving documentation, including adding explanations and Javadoc comments, without modifying code functionality.",docs,9
3088289053,Add class summary for SLF4J binder,"The PR adds documentation for the StaticLoggerBinder class, which is a documentation-only change without code modifications or new features.",docs,9
3088279858,Add Javadoc for DefaultChronicleLogWriter,"The PR adds Javadoc documentation for the DefaultChronicleLogWriter class and its methods, which is purely documentation without code changes or features.",docs,9
3088279892,Add Javadoc to ChronicleLogManager,"The PR adds Javadoc documentation to the ChronicleLogManager class, describing its behavior and API methods, which is purely documentation work without code changes.",docs,9
3088290156,Document service provider,"The PR is focused on documenting the ChronicleServiceProvider class, which is a documentation-only change without code modifications or feature additions.",docs,9
